Country/Region,Confirmed,Deaths,Recovered,Active,New Confirmed,New Recovered,New Deaths,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed today,Confirmed last week,1 week change,1 week % increase
Bhutan,7,0,3,4,1,1,0,0.0,42.86,0.0,769867.0,9.0,7,5,2,40.0
Bolivia,703,43,44,616,94,0,6,6.12,6.26,97.73,11640159.0,60.0,703,441,262,59.41
Bosnia and Herzegovina,1413,54,485,874,45,25,1,3.82,34.32,11.13,3284806.0,430.0,1413,1167,246,21.08
Botswana,22,1,0,21,0,0,0,4.55,0.0,inf,2341649.0,9.0,22,15,7,46.67
Brazil,50036,3331,26573,20132,4279,1255,425,6.66,53.11,12.54,212253150.0,236.0,50036,30425,19611,64.46
Brunei,138,1,119,18,0,2,0,0.72,86.23,0.84,436624.0,316.0,138,136,2,1.47
Bulgaria,1097,52,190,855,73,16,3,4.74,17.32,27.37,6958627.0,158.0,1097,800,297,37.12
Burkina Faso,616,41,410,165,7,21,2,6.66,66.56,10.0,20780371.0,30.0,616,546,70,12.82
Burma,139,5,9,125,16,2,0,3.6,6.47,55.56,54409800.0,3.0,139,85,54,63.53
Burundi,11,1,4,6,0,0,0,9.09,36.36,25.0,11814346.0,1.0,11,5,6,120.0
Cabo Verde,82,1,1,80,9,0,0,1.22,1.22,100.0,554750.0,148.0,82,56,26,46.43
Cambodia,122,0,110,12,0,0,0,0.0,90.16,0.0,16671185.0,7.0,122,122,0,0.0
Cameroon,1334,43,0,1291,171,0,0,3.22,0.0,inf,26405174.0,51.0,1334,996,338,33.94
Canada,43285,2240,0,41045,1637,0,165,5.18,0.0,inf,37674770.0,1149.0,43285,30808,12477,40.5
Central African Republic,16,0,10,6,2,0,0,0.0,62.5,0.0,4812256.0,3.0,16,12,4,33.33
Chad,33,0,8,25,0,0,0,0.0,24.24,0.0,16324440.0,2.0,33,27,6,22.22
Chile,11812,168,5804,5840,516,418,8,1.42,49.14,2.89,19082804.0,619.0,11812,8807,3005,34.12
China,83884,4636,75531,3717,16,115,0,5.53,90.04,6.14,1438207241.0,58.0,83884,83403,481,0.58
Colombia,4561,215,927,3419,205,57,9,4.71,20.32,23.19,50771878.0,90.0,4561,3233,1328,41.08
Congo (Brazzaville),186,6,16,164,0,0,0,3.23,8.6,37.5,89561403.0,2.0,186,117,69,58.97
Congo (Kinshasa),377,25,47,305,18,2,0,6.63,12.47,53.19,5518087.0,68.0,377,267,110,41.2
Costa Rica,686,6,196,484,5,16,0,0.87,28.57,3.06,5084636.0,135.0,686,642,44,6.85
Cote d'Ivoire,1004,14,359,631,52,49,0,1.39,35.76,3.9,26378274.0,38.0,1004,654,350,53.52
Croatia,1981,50,883,1048,31,14,2,2.52,44.57,5.66,4110214.0,482.0,1981,1791,190,10.61
Cuba,1235,43,365,827,46,24,3,3.48,29.55,11.78,11327988.0,109.0,1235,862,373,43.27
Cyprus,795,13,98,684,5,0,0,1.64,12.33,13.27,1205577.0,659.0,795,735,60,8.16
Czechia,7187,210,0,6977,55,0,2,2.92,0.0,inf,10708981.0,671.0,7187,6433,754,11.72
Denmark,8271,394,5573,2304,163,297,10,4.76,67.38,7.07,5788108.0,1429.0,8271,7074,1197,16.92
Diamond Princess,712,13,645,54,0,1,0,1.83,90.59,2.02,,,712,712,0,0.0
Djibouti,986,2,252,732,12,69,0,0.2,25.56,0.79,985027.0,1001.0,986,591,395,66.84
Dominica,16,0,9,7,0,0,0,0.0,56.25,0.0,71950.0,222.0,16,16,0,0.0
Dominican Republic,5543,265,581,4697,243,0,5,4.78,10.48,45.61,10825682.0,512.0,5543,3755,1788,47.62
Ecuador,11183,560,1328,9295,333,66,23,5.01,11.88,42.17,17587526.0,636.0,11183,8225,2958,35.96
Egypt,3891,287,1004,2600,232,69,11,7.38,25.8,28.59,101930276.0,38.0,3891,2673,1218,45.57
El Salvador,250,8,67,175,13,4,1,3.2,26.8,11.94,6479609.0,39.0,250,164,86,52.44
Equatorial Guinea,84,1,7,76,0,0,0,1.19,8.33,14.29,1392950.0,60.0,84,51,33,64.71
Eritrea,39,0,6,33,0,0,0,0.0,15.38,0.0,3536285.0,11.0,39,35,4,11.43
Estonia,1592,45,192,1355,33,8,1,2.83,12.06,23.44,1326357.0,1200.0,1592,1434,158,11.02
