Country/Region,Confirmed,Deaths,Recovered,Active,New Confirmed,New Recovered,New Deaths,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed today,Confirmed last week,1 week change,1 week % increase
Canada,44054,2384,0,41670,769,0,144,5.41,0.0,inf,37674770.0,1169.0,44054,32813,11241,34.26
Central African Republic,16,0,10,6,0,0,0,0.0,62.5,0.0,4812256.0,3.0,16,12,4,33.33
Chad,40,0,8,32,7,0,0,0.0,20.0,0.0,16324440.0,2.0,40,27,13,48.15
Chile,12306,174,6327,5805,494,523,6,1.41,51.41,2.75,19082804.0,645.0,12306,9252,3054,33.01
China,83899,4636,75609,3654,15,78,0,5.53,90.12,6.13,1438207241.0,58.0,83899,83760,139,0.17
Colombia,4881,225,1003,3653,320,76,10,4.61,20.55,22.43,50771878.0,96.0,4881,3439,1442,41.93
Congo (Brazzaville),200,6,19,175,14,3,0,3.0,9.5,31.58,89561403.0,2.0,200,143,57,39.86
Congo (Kinshasa),394,25,48,321,17,1,0,6.35,12.18,52.08,5518087.0,71.0,394,287,107,37.28
Costa Rica,687,6,216,465,1,20,0,0.87,31.44,2.78,5084636.0,135.0,687,649,38,5.86
Cote d'Ivoire,1077,14,419,644,73,60,0,1.3,38.9,3.34,26378274.0,41.0,1077,688,389,56.54
Croatia,2009,51,982,976,28,99,1,2.54,48.88,5.19,4110214.0,489.0,2009,1814,195,10.75
Cuba,1285,49,416,820,50,51,6,3.81,32.37,11.78,11327988.0,113.0,1285,923,362,39.22
Cyprus,804,14,98,692,9,0,1,1.74,12.19,14.29,1205577.0,667.0,804,750,54,7.2
Czechia,7273,214,0,7059,86,0,4,2.94,0.0,inf,10708981.0,679.0,7273,6549,724,11.06
Denmark,8408,403,5715,2290,137,142,9,4.79,67.97,7.05,5788108.0,1453.0,8408,7268,1140,15.69
Diamond Princess,712,13,645,54,0,0,0,1.83,90.59,2.02,,,712,712,0,0.0
Djibouti,999,2,330,667,13,78,0,0.2,33.03,0.61,985027.0,1014.0,999,732,267,36.48
Dominica,16,0,10,6,0,1,0,0.0,62.5,0.0,71950.0,222.0,16,16,0,0.0
Dominican Republic,5749,267,763,4719,206,182,2,4.64,13.27,34.99,10825682.0,531.0,5749,4126,1623,39.34
Ecuador,22719,576,1366,20777,11536,38,16,2.54,6.01,42.17,17587526.0,1292.0,22719,8450,14269,168.86
Egypt,4092,294,1075,2723,201,71,7,7.18,26.27,27.35,101930276.0,40.0,4092,2844,1248,43.88
El Salvador,274,8,75,191,24,8,0,2.92,27.37,10.67,6479609.0,42.0,274,177,97,54.8
Equatorial Guinea,214,1,7,206,130,0,0,0.47,3.27,14.29,1392950.0,154.0,214,79,135,170.89
Eritrea,39,0,11,28,0,5,0,0.0,28.21,0.0,3536285.0,11.0,39,35,4,11.43
Estonia,1605,46,206,1353,13,14,1,2.87,12.83,22.33,1326357.0,1210.0,1605,1459,146,10.01
Eswatini,36,1,10,25,5,2,0,2.78,27.78,10.0,1157707.0,31.0,36,16,20,125.0
Ethiopia,117,3,25,89,1,4,0,2.56,21.37,12.0,114357494.0,1.0,117,96,21,21.88
Fiji,18,0,10,8,0,2,0,0.0,55.56,0.0,895128.0,20.0,18,17,1,5.88
Finland,4395,177,2500,1718,111,500,5,4.03,56.88,7.08,5539002.0,793.0,4395,3489,906,25.97
France,159952,22279,44271,93402,1649,1509,390,13.93,27.68,50.32,65244628.0,2452.0,159952,148084,11868,8.01
Gabon,172,3,26,143,5,2,1,1.74,15.12,11.54,2214593.0,78.0,172,108,64,59.26
Gambia,10,1,2,7,0,0,0,10.0,20.0,50.0,2402083.0,4.0,10,9,1,11.11
Georgia,444,5,132,307,19,21,0,1.13,29.73,3.79,3990681.0,111.0,444,370,74,20.0
Germany,154999,5760,109800,39439,1870,6500,185,3.72,70.84,5.25,83730223.0,1851.0,154999,141397,13602,9.62
Ghana,1279,10,134,1135,125,35,1,0.78,10.48,7.46,30936375.0,41.0,1279,641,638,99.53
Greece,2490,130,577,1783,27,0,5,5.22,23.17,22.53,10433037.0,239.0,2490,2224,266,11.96
Grenada,15,0,0,15,0,0,0,0.0,0.0,0.0,112418.0,133.0,15,14,1,7.14
Guatemala,430,11,30,389,46,0,0,2.56,6.98,36.67,17846248.0,24.0,430,214,216,100.93
Guinea,954,6,191,757,92,21,0,0.63,20.02,3.14,13056478.0,73.0,954,477,477,100.0
Guinea-Bissau,52,0,3,49,2,0,0,0.0,5.77,0.0,1958132.0,27.0,52,43,9,20.93
Guyana,73,7,12,54,3,3,0,9.59,16.44,58.33,785788.0,93.0,73,63,10,15.87
Haiti,72,5,2,65,0,0,0,6.94,2.78,250.0,11373955.0,6.0,72,43,29,67.44
Holy See,9,0,2,7,0,0,0,0.0,22.22,0.0,801.0,11236.0,9,8,1,12.5
Honduras,591,55,58,478,72,27,8,9.31,9.81,94.83,9871892.0,60.0,591,442,149,33.71
Hungary,2443,262,458,1723,159,68,23,10.72,18.75,57.21,9665192.0,253.0,2443,1763,680,38.57
Iceland,1789,10,1542,237,0,33,0,0.56,86.19,0.65,340795.0,5249.0,1789,1754,35,2.0
India,24530,780,5498,18252,1453,486,59,3.18,22.41,14.19,1377233523.0,18.0,24530,14352,10178,70.92
Indonesia,8211,689,1002,6520,436,42,42,8.39,12.2,68.76,272931713.0,30.0,8211,5923,2288,38.63
Iran,88194,5574,66599,16021,1168,1756,93,6.32,75.51,8.37,83771587.0,1053.0,88194,79494,8700,10.94
Iraq,1708,86,1204,418,31,33,3,5.04,70.49,7.14,40031626.0,43.0,1708,1482,226,15.25
Ireland,18184,1014,9233,7937,577,0,220,5.58,50.78,10.98,4926480.0,3691.0,18184,13980,4204,30.07
Israel,15058,194,6003,8861,255,392,2,1.29,39.87,3.23,8627444.0,1745.0,15058,12982,2076,15.99
Italy,192994,25969,60498,106527,3021,2922,420,13.46,31.35,42.93,60479424.0,3191.0,192994,172434,20560,11.92
Jamaica,288,7,28,253,31,0,1,2.43,9.72,25.0,2958567.0,97.0,288,143,145,101.4
Japan,12829,345,1530,10954,461,36,17,2.69,11.93,22.55,126552765.0,101.0,12829,9787,3042,31.08
