Date,Confirmed,Deaths,Recovered,New Confirmed,New Deaths,New Recovered,No. of countries,Deaths / 100 Cases,Deaths / 100 Recovered
2020-02-25,80406,2708,26260,845,79,2591,40,32.66,10.31
2020-02-26,81388,2770,28683,982,62,2423,47,35.24,9.66
2020-02-27,82746,2814,31507,1358,44,2824,51,38.08,8.93
2020-02-28,84112,2872,34875,1366,58,3368,57,41.46,8.24
2020-02-29,86011,2941,37861,1899,69,2986,61,44.02,7.77
2020-03-01,88369,2996,40717,2358,55,2856,66,46.08,7.36
2020-03-02,90306,3085,43575,1937,89,2858,73,48.25,7.08
2020-03-03,92840,3160,46162,2534,75,2587,77,49.72,6.85
2020-03-04,95120,3254,49090,2280,94,2928,81,51.61,6.63
2020-03-05,97886,3348,51700,2766,94,2610,85,52.82,6.48
2020-03-06,101801,3460,53743,3915,112,2043,94,52.79,6.44
2020-03-07,105847,3558,56220,4046,98,2477,95,53.11,6.33
2020-03-08,109821,3802,58543,3974,244,2323,100,53.31,6.49
2020-03-09,113590,3988,60324,3769,186,1781,103,53.11,6.61
2020-03-10,118620,4262,62226,5030,274,1902,106,52.46,6.85
2020-03-11,125875,4615,64820,7255,353,2594,112,51.5,7.12
2020-03-12,128352,4720,66135,2477,105,1315,114,51.53,7.14
2020-03-13,145205,5404,68054,16853,684,1919,120,46.87,7.94
2020-03-14,156101,5819,70423,10896,415,2369,134,45.11,8.26
2020-03-15,167454,6440,73827,11353,621,3404,138,44.09,8.72
2020-03-16,181574,7126,75874,14120,686,2047,143,41.79,9.39
2020-03-17,197102,7905,78625,15528,779,2751,146,39.89,10.05
2020-03-18,214821,8733,81093,17719,828,2468,150,37.75,10.77
2020-03-19,242570,9867,82755,27749,1134,1662,154,34.12,11.92
2020-03-20,272208,11299,85196,29638,1432,2441,161,31.3,13.26
2020-03-21,304507,12973,89464,32299,1674,4268,163,29.38,14.5
2020-03-22,336953,14651,95667,32446,1678,6203,168,28.39,15.31
2020-03-23,378231,16505,96119,41278,1854,452,169,25.41,17.17
2020-03-24,418041,18625,105660,39825,2120,9541,171,25.28,17.63
2020-03-25,467653,21181,111372,49612,2556,5712,174,23.82,19.02
2020-03-26,529591,23970,119732,61938,2789,8360,175,22.61,20.02
2020-03-27,593291,27198,128421,63700,3228,8689,176,21.65,21.18
2020-03-28,660693,30652,136710,67402,3454,8289,177,20.69,22.42
2020-03-29,720140,33925,146374,59447,3273,9664,177,20.33,23.18
2020-03-30,782389,37582,161840,62249,3657,15466,178,20.69,23.22
2020-03-31,857487,42108,174159,75098,4526,12319,180,20.31,24.18
2020-04-01,932475,47183,189549,74988,5075,15390,180,20.33,24.89
2020-04-02,1013326,52986,206216,80851,5803,16667,181,20.35,25.69
2020-04-03,1095698,58790,221292,82372,5804,15076,181,20.2,26.57
2020-04-04,1175857,64607,241229,80159,5817,19937,181,20.52,26.78
2020-04-05,1249484,69374,254609,73627,4767,13380,183,20.38,27.25
2020-04-06,1321131,74565,270836,71647,5191,16227,184,20.5,27.53
2020-04-07,1396092,81937,293744,74961,7372,22908,184,21.04,27.89
2020-04-08,1479804,88347,321896,83712,6410,28152,184,21.75,27.45
2020-04-09,1565278,95521,346130,85474,7174,24234,184,22.11,27.6
2020-04-10,1657526,102534,367460,92248,7013,21330,185,22.17,27.9
2020-04-11,1735650,108511,392670,78124,5977,25210,185,22.62,27.63
2020-04-12,1834721,114100,411686,99085,5589,19016,185,22.44,27.72
2020-04-13,1904838,119491,437929,70117,5391,26243,185,22.99,27.29
2020-04-14,1975195,125995,462903,70357,6504,24974,185,23.44,27.22
2020-04-15,2055057,134189,498675,79862,8194,35772,185,24.27,26.91
2020-04-16,2151421,143814,528873,96364,9625,30198,185,24.58,27.19
2020-04-17,2239144,153835,554030,87723,10021,25157,185,24.74,27.77
2020-04-18,2316716,159509,577518,77573,5674,23488,185,24.93,27.62
2020-04-19,2400078,165043,608006,83362,5534,30488,185,25.33,27.14
2020-04-20,2471247,169985,628875,71169,4942,20869,185,25.45,27.03
2020-04-21,2548091,176582,662089,76844,6597,33214,185,25.98,26.67
2020-04-22,2623049,183064,690384,77146,6482,28295,185,26.32,26.52
2020-04-23,2707728,190857,718427,84679,7793,28043,185,26.53,26.57
2020-04-24,2809977,197004,768349,102249,6147,49922,185,27.34,25.64
